,iyear,imonth,iday,country,region,provstate,city,latitude,longitude,attacktype1,attacktype2,attacktype3,targtype1,natlty1,targtype2,natlty2,targtype3,natlty3,gname,gname2,gname3,weaptype1,weaptype2,weaptype3,weaptype4,nkill,nwound,population
3942,2009,10,25,95,10,Baghdad,Baghdad,"33,303566","44,371773",3,,,2,95.0,,,,,Islamic State of Iraq (ISI),,,6,,,,76.0,360,7216000.0
3946,2009,10,25,95,10,Baghdad,Baghdad,"33,303566","44,371773",3,,,2,95.0,,,,,Islamic State of Iraq (ISI),,,6,,,,77.0,360,7216000.0
3976,2009,10,28,95,10,Babil,Hillah,"32,469238","44,416637",3,,,7,217.0,,,,,Asa'ib Ahl al-Haqq,,,6,,,,0.0,0,289709.0
3978,2009,10,28,95,10,Diyala,Khalis,"33,848618","44,522125",1,,,17,95.0,,,,,Islamic State of Iraq (ISI),,,5,,,,1.0,0,0.0
3988,2009,10,28,6,10,Tizi Ouzou Province,Ath Aissi,"36,662321","4,079895",2,,,14,6.0,,,,,Gunmen,,,5,,,,0.0,1,7216000.0
4020,2009,10,30,6,10,Tizi Ouzou,Iflissen,"36,866624","4,249595",6,,,1,6.0,,,,,Al-Qaida in the Islamic Maghreb (AQIM),,,5,,,,0.0,0,0.0
4050,2009,11,1,95,10,Al Anbar,Ramadi,"33,420948","43,295662",3,,,3,95.0,,,,,Islamic State of Iraq (ISI),,,6,,,,3.0,8,274539.0
4071,2009,11,3,228,10,Hadramawt,Asfal al-Ayn,"14,681553","48,851287",2,,,3,228.0,,,,,Al-Qaida in the Arabian Peninsula (AQAP),,,5,,,,5.0,0,0.0
4077,2009,11,3,173,10,Jizan,Jizan,"16,893194","42,57526",2,,,4,173.0,,,,,Houthi extremists (Ansar Allah),,,5,,,,1.0,11,105198.0
4175,2009,11,12,95,10,Babil,Hillah,"32,469238","44,416637",3,,,7,95.0,,,,,Asa'ib Ahl al-Haqq,,,6,,,,0.0,0,289709.0
4188,2009,11,13,95,10,Baghdad,Baghdad,"33,303566","44,371773",1,,,2,95.0,,,,,Islamic State of Iraq (ISI),,,5,,,,0.0,1,7216000.0
4211,2009,11,15,228,10,Sanaa,Arhab district,"15,793696","44,319674",6,2.0,,14,228.0,,,,,Al-Jub Tribe,,,13,,,,0.0,0,0.0
4223,2009,11,16,95,10,Al Anbar,Fallujah,"33,349159","43,784199",3,,,3,95.0,,,,,Islamic State of Iraq (ISI),,,6,,,,0.0,4,190159.0
4224,2009,11,16,95,10,Al Anbar,Fallujah,"33,349159","43,784199",3,,,3,95.0,,,,,Islamic State of Iraq (ISI),,,6,,,,0.0,2,190159.0
4225,2009,11,16,95,10,Al Anbar,Fallujah,"33,349159","43,784199",3,,,3,95.0,,,,,Islamic State of Iraq (ISI),,,6,,,,0.0,8,190159.0
4243,2009,11,17,95,10,Diyala,Baqubah,"33,74324","44,623825",1,,,17,95.0,,,,,Al-Qaida in Iraq,,,5,,,,2.0,0,152550.0
